state_code,city,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,diff_founded_first_funding,diff_founded_last_funding,negative_age_first_funding_year,negative_age_last_funding_year,negative_age_first_milestone_year,negative_age_last_milestone_year,abs_diff_founded_first_funding,abs_diff_founded_last_funding,is_outlier,founded_year,founded_at_days,first_funding_at_days,last_funding_at_days
0,0,1.3014,2.4685,0.0,2.4685,3,2,1800000,2,0,1,1,0,0,0,0,5.0,1,0,1,3,0,0,0,0,1,3,0,0,9740,10215,10641
1,1,1.2164,1.2164,1.4164,2.6822,6,1,5500000,2,1,0,0,1,0,0,0,8.0,1,0,1,1,0,0,0,0,1,1,0,1,9862,10306,10306
2,2,5.1644,5.1644,3.055353047989624,4.754422568093385,0,1,5750000,0,2,0,0,0,0,1,0,4.0,1,0,5,5,0,0,0,0,5,5,0,2,5844,7729,7729
3,3,0.4192,0.4192,3.055353047989624,4.754422568093385,5,3,5900000,0,3,0,1,0,0,0,0,1.0,0,0,1,1,0,0,0,0,1,1,0,3,8248,8401,8401
4,4,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,4,0,0,0,1,0,0,2.0,1,0,3,3,0,0,0,0,3,3,0,4,7305,8704,8704
0,0,1.8822,1.8822,1.6603,3.0247,5,1,1000000,3,5,0,0,1,0,0,0,7.0,1,0,1,1,0,0,0,0,1,1,0,5,9132,9819,9819
1,5,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,6,1,0,1,1,1,1,3.5,1,0,2,6,0,0,0,0,2,6,0,6,6940,7884,9409
5,6,5.6986,6.8877,3.055353047989624,4.754422568093385,2,2,8800000,0,7,1,0,1,0,0,0,1.0,1,0,5,6,0,0,0,0,5,6,0,7,6575,8655,9089
1,7,3.9178,3.9178,3.055353047989624,4.754422568093385,2,2,12000000,0,8,0,0,1,1,0,0,4.0,1,0,3,3,0,0,0,0,3,3,0,4,7305,8735,8735
1,1,2.5973,2.5973,2.9178,5.4822,7,1,12170000,2,9,0,0,0,0,1,0,3.0,1,0,3,3,0,0,0,0,3,3,0,8,7883,8831,8831
6,8,2.1616,4.9562,3.055353047989624,4.754422568093385,2,2,4000000,0,10,0,0,1,0,0,0,2.0,1,0,2,4,0,0,0,0,2,4,0,8,7671,8460,9480
1,9,6.6027,6.6027,4.0027,4.0027,3,1,10360000,1,4,0,0,0,0,1,0,5.0,1,0,6,6,0,0,0,0,6,6,0,9,6210,8620,8620
